,brand,name,new_price,ml,concentration,department,scents,base_note,middle_note,item_rating
689,Genie,8839 Collection,24.85,25,EDP,Women,Floral,"Liquid Amber, Black Violet, Cream, Mahogany","Lotus Blossom, Champaca Flower, Black Orchid",4.2
690,GIORGIO ARMANI,Si Possione,246.5,100,EDP,Women,Floral,"Cedar, Vanilla, Amberwood, Patchouli","Rose, Jasmine, Heliotrope, Pineapple",4.7
691,Calvin Klein,Beauty,109.55,100,EDP,Women,Floral,Virginia Cedar,Jasmine,4.6
692,J.CASANOVA,Paris Vivaldi,90,100,EDP,Women,Fruity,"Cedar, Moss, Musk, Amber And Sandalwood","Lily-of-the-valley, Rose, Jasmine, Narcissus And Orchid",3
693,Calvin Klein,Beauty,118,100,EDP,Women,Floral,Virginia Cedar,Jasmine,4.6
694,LACOSTE,Essential,148.65,125,EDT,Men,Citrus,Sandalwood And Patchouli,Pepper And Rose,3.3
695,Rasasi,Al Wisam Day,84.8,100,EDP,Men,Oriental,"Amber, Musk, Oakmoss, Agarwood (Oud)","Rose, Clary Sage, Sandalwood, Cedar",5
696,Rasasi,Shuhrah,77.95,90,EDP,Men,Floral,"Amber, Musk, Oakmoss, Agarwood, Leathery","Rose, Sandalwood, Cedar,Jasmine",5
697,cacharel,Yes I Am ED,8.9,2,EDT,Women,Jasmine,"Milk, Sandalwood, Cardamom","Ginger Flower, Jasmine, Gardenia",1
698,GUCCI,Guilty Black,218.05,90,EDT,Men,Spicy,Patchouli,Orange Flower,5
699,CHANEL,Bleu De Chanel,245,100,EDT,Men,Citrus,"Labdanum, Sandalwod, Patchouli, Vetiver, Incense, Cedar, White Musk","Ginger, Iso E Super, Nutmeg, Jasmine",4.8
700,Dolce & Gabbana,Pour Femme,195,100,EDP,Women,Floral,"Guimave, Vanilla, Heliotrope and Sandalwood",Jasmine and Orange Blossom,5
701,Arabian Oud,Sheikh Al Shuyukh,54,100,EDP,Men,Woody,Vetiver And Patchouli,"Lavender, Sage And Rosemary",5
702,S.T.Dupont,Essence Pure,91.1,100,EDT,Women,Citrus,"Amber, Patchouli, Vanilla and Cedar",Jasmine and Rose,4.4
703,ISSEY MIYAKE,L'eau D'issey Pour Homme,155.75,125,EDT,Men,Floral,Coriander,Nutmeg,5
704,CHANEL,Bleu De Chanel,374,100,EDP,Men,Woody,"Incense, Amber, Cedar, Sandalwood, Patchouli, Labdanum, Amber wood","Ginger, Jasmine, Nutmeg, Melon",4.7
705,Lattafa,Musk Mood,48,100,EDP,Unisex,Woody,"Musk, Incense, Amber, Resins, Woody Note","Patchouli, Caramel, Agarwood (Oud), Floral Notes",5
706,Yves Saint Laurent,Black Opium,364.65,90,EDP,Women,Vanilla,"Musk, White Wood","Jasmine Tea, Orrange Blossom, Coffee",4.8
707,CARTIER,Baiser Vole,227.6,100,EDP,Women,Floral,Green leaves of lily,Essences of rare and elegant lily flower,4.4
708,Elizabeth Arden,Red Door,128.95,100,EDT,Women,Floral,"Honey, Sandalwood and Vetiver","Orchid, Jasmine, Lily-of-the valley, Orange blossom,Wild violet and Freesia",5
709,GUESS,Seductive,86.75,75,EDT,Women,Spicy,"Vanille, Olibanum And Cashmere Wood","Jasmine, African Orange Flower And Orris Root",5
710,Dolce & Gabbana,The One,189.6,100,EDT,Men,Spicy,"Amber, Cedar, Toacco","Ginger, Orange Blossom, Cardamom",4.3
711,NINA RICCI,Mademoiselle Ricci,117,50,EDP,Women,Floral,"White Wood, Musk, Amber, Cedar And Violet","Nerium Oleander, Rose Hip And Laurels",4.5
712,JAGUAR,Classic Black,60,100,EDT,Men,Aromatic,"Sandalwood, Oakmoss, Tonka Beans, Virginia Cedar, Vetiver, Musk","Cardamom With Black Tea Leaves, Geranium, Nutmeg",4.3
713,Creation Lamis,Above The Law,28.5,100,EDT,Men,Woody,"Haitian Vetiver, Tonka Bean, Amberwood","Guatemalan Cardamom, Juniper, Apple, Geranium",4
714,GIORGIO ARMANI,Si,261.8,100,EDP,Women,Floral,"Patchouli, Vanilla, Ambroxan, Woody Notes","May rose, Neroli Absolute, Davana, Osmanthus",4.7
715,DIESEL,Plus Plus Masculine,30,75,EDT,Men,Spicy,"Vetiver, Musk, Sandalwood, Patchouli, Oak Moss, Nutmeg, Clove, Cinnamon, Tonka Bean and Anise","Jasmine, Birch, Sage, Cardamom, Coriander, Lily-of-The-Valley, Violet and Green Notes",4.5
716,JAGUAR,Classic Blue,67,100,EDT,Men,Spicy,"Sandalwood, Benzoin, White Musk","Ginger, Orange Blossom, Lotus",4.7
717,Van Cleef & Arpels,First,181.1,100,EDP,Women,Floral,"Honey, Tonka Beans, Amber, Sandalwood, Musk, Civet, Vanilla, Oakmoss, Vetiver","Carnation, Tuber Rose, Orchid, Orris Root, Jasmine, Hiacynth, Rose, Ylang Ylang, narcissus, Lily",5
718,BURBERRY,Body Tender,114,85,EDT,Women,Floral,"Cashmeran, Amber And Musk","Dewy English Roses, White Jasmine And Sandalwood",5
719,Calvin Klein,Eternity,95,100,EDT,Men,Floral,"Sandalwood, Vetiver, Rosewood And Ambergris","Jasmine, Geranium And Sage",4.5
720,Ferrari,Scuderia Red,97.6,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss and Vanilla","Jasmine, Geranium, Orris and Nutmeg",4.6
721,GUESS,Marciano,83.5,100,EDP,Women,Citrus,"Powdery Vanilla, Musk And Woody Accords","Peony, Pink Honeysuckle And Intensively Clean And Sweet Jasmine",4.6
722,TOMMY HILFIGER,Tommy Girl,122.95,100,EDT,Women,Citrus,"Desert Jasmin, Cherokee Rose, Magnolia Petals, Dakota Lilies, Cedar, Sandalwood And Wild Heather","Grapefruit, Citrus Orchards, Crisp Green Notes, Honeysuckle And Butterfly Violets",4.4
723,Rasasi,Oud Al Misk,59,100,EDP,Women,Oriental,"Cedar, Vetiver, Patchouli, Sandalwood, Ambergris And Musk",Geranium And Jasmine,3
724,Alina Corel,Beach Palm,24.95,100,EDP,Women,Fresh,"Himalayan Cedar, Warm Woman Skin Accord, Sandal and Incense","Heliotrope, Jasmine In An Alliance With Hibiscus Blossom and Bulgarian Rose",2.3
725,Estee Lauder,Pleasures,169.9,100,EDP,Women,Fruity,"Cedar, Musk, Patchouli, Sandalwood","Jasmine, Lilac, Lily, Lily Of The Valley, Peony, Rose",4.6
726,Rasasi,Romance,37,45,EDP,Women,Floral,Powdery,"Fruity, Woody",5
727,LALIQUE,Encre Noire,134.95,100,EDT,Men,Woody,Cashmere Wood And Musk,Haiti Vetiver And Bourbon Vetiver,4.5
728,TESORI D¢¥ORIENTE,Lotus Flower Aromatic Par,33.6,100,EDT,Unisex,Floral,"Vanilla, Woodsy Notes, Sandalwood And Musk","Jasmine, Lotus, Tuberose And Lily Of The Valley",4.6
729,LALIQUE,Encre Noire,136.95,100,EDT,Men,Woody,"Cashmere Wood, Musk",Haitian Vetiver,4.5
730,LALIQUE,Amethyst Exquise,202.25,100,EDP,Women,Floral,Woody Notes,Orchid,4.4
731,Franck Olivier,Oud Touch,85,100,EDP,Men,Woody,"Amber, Musk, Vanilla","Violet, Patchouli, Rose, Jasmine, Olibanum",4.7
732,MONTBLANC,Explorer,187.9,100,EDP,Men,Woody,"Ambroxan, Akigalawood, Indonesian Patchouli Leaf, Cacao Pod","Haitian Vetiver, Leather",5
733,VERSACE,Yellow Diamond,173.45,90,EDT,Women,Floral,"Amber, Precious Musk And Guaiac Wood",Creamy And Jasmine And Osmanthus,5
734,YVES,Black Opium,178.5,90,EDP,Women,Fresh,"Vanilla, Patchouli, Cedar, Cashmere Wood","Coffee, Jasmine, Bitter Almond, Licorice",5
735,CHANEL,Coco Mademoiselle,275.3,100,EDP,Women,Woody,"Opoponax, Patchouli, Tonka Beans, Vanilla, Vetiver, White Musk","Jasmine, Mimosa, Rose, Ylang-Ylang",4.7
736,Calvin Klein,One Shock,86.3,200,EDT,Women,Floral,"Musk, Patchouli, Amber and Vanille","Jasmine, Narcissus, Mexican chocolate and Blackberry",4.2
737,Roberto Cavalli,Uomo,126,100,EDT,Men,Floral,"Cedar, Tonka Bean, Patchouli","Honey, Lavender",4.6
738,BOUCHERON,Quatre Absolue De Nuit,125.95,100,EDP,Women,Arabian,"Sandalwood, Vanilla and Amberwood","Jasmine, Tonka Bean and Pear",4.8
739,Calvin Klein,Eternity,104.8,100,EDT,Men,Floral,"Sandalwood, Amber, Musk, Vetiver, Brazilian Rosewood","Coriander, Lily, Orange Blossom, Juniper Berries, Basil, Jasmine, Sage, Lily-Of-The-Valley, Geranium",4.5
740,BURBERRY,London,167.1,100,EDP,Women,Floral,"Sandalwood, Patchouli, Musk","Clementine, Peony Tiare, Jasmine",5
741,Roberto Cavalli,Uomo,134.95,100,EDT,Men,Floral,"Cedar, Patchouli, Tonka Bean","Honey, Lavender",4.6
742,Guerlain,L'Homme Ideal,6.5,1,EDT,Men,Floral,"Vanilla, Amber, Musk, and Patchouli","Jasmine, Geranium, Neroli and Ylang-Ylang",5
743,Calvin Klein,Sheer Beauty,104.05,100,EDT,Women,Fruity,"Musk, Sandalwood, Vanille","Jasmine, Peony, Lily",4.6
744,Lattafa,Rouat Al Musk,38.95,100,EDP,Women,Oriental,Vanilla and Amber,"Jasmine, White Flowers and Sandalwood",4.8
745,Mancera,Wild Leather,224,120,EDP,Unisex,Woody,"Amber, Guaiac Wood, Leather, Lichen, Musk","Bulgarian Rose, Patchouli, Violet",4.4
746,Misk Perfumes,White Musk Perfume,5.35,6,Oil,Unisex,Musk,Tail Rose,Vanilla Flowers,3.8
747,Alina Corel,Monsieur Coco Vanilla,31.85,100,EDP,Unisex,Floral,"White Musk, Woody Notes, Madagascar Vanilla","Jasmine, Ylang-Ylang, Tiare Flower",4.7
748,jennifer lopez,Still,107.8,100,EDP,Women,Floral,"Amber, Orris, Sandalwood","Honeysuckle, Orange Tree Blossom, Pink Freesia",4.8
749,DORALL COLLECTION,Golden Blaze,11,100,EDP,Women,Musk,"Musk, Patchouli, Amber","Ylang-ylang, Jasmine",4.3
750,Rasasi,Emotion,44.45,50,EDP,Women,Sandalwood,"Sandalwood, Musk, Amber, Cedar And Vanilla","Kiwi, Pineapple, Black Currant, Freesia, Water Lily And Jasmin",4.6
751,DIESEL,Only The Brave Tattoo,236.9,75,EDT,Men,Citrus,"Woodsy Accord, Benzoin, Tob**co, Patchouli","Sage, Bourbon Pepper",4.5
752,Lattafa,Sheikh Shuyukh,30.3,50,EDP,Unisex,Woody,"Vetiver, Patchouli","Lavender, Sage, Rosemary",4.9
753,Al Fakhr,Kalam Al Oud,13.3,100,EDP,Unisex,Woody,"Sandalwood, Cedarwood","Black Pepper, Cardamom",3.3
754,HUGO BOSS,Orange EDT Sp,110,100,EDT,Men,Floral,"Vanilla, Woodsy Notes","Incense, Sichuan Pepper",4.8
755,Armaf,Club De Nuit Milestone,135,105,EDP,Women,Floral,"Vetiver, Musk, Ambroxan","Violet Sandalwood, White Wood",5
756,BVLGARI,Man In Black,187,100,EDP,Men,Spicy,"Tonka Bean, Guaiac Wood, Benzoin","Leather, Iris, Tuberose",4.6
757,VERSACE,Eros,225.1,100,EDP,Women,Citrus,"Sandalwood, Ambroxan, Musk and Woodsy Notes","Lemon Blossom, Jasmine Sambac, Jasmine and Peony",5
758,CARTIER,Declaration,101.6,100,EDT,Men,Spicy,"Leather, Amber, Tea, Tahitian Vetiver, Oak Moss And Cedar","Iris, Ginger, Cinnamon, Pepper, Juniper, Orris Root, Jasmine And Guatemalan Cardamom",4.5
759,Pierra Katra,Velvet Oud,97,100,EDP,Men,Arabian,"Cashmere Wood, Amber, Musk","Floral Harmony of Magnolia, Honeysuckle, , Sweet Fruity Raspberry Nuance",3
760,DIESEL,Plus Plus Masculine,31.8,75,EDT,Men,Spicy,"Vetiver, Musk, Sandalwood, Patchouli, Oak Moss, Nutmeg, Clove, Cinnamon, Tonka Bean And Anise","Jasmine, Birch, Sage, Cardamom, Coriander, Lily-of-the-valley, Violet And Green Notes",4.6
761,Rasasi,Shuhrah,69.7,90,EDP,Women,Floral,"Oud, Patchouli, Grey Amber, Musk","Iris, Jasmine, Lily of the Valley",5
762,VERSACE,Eros,208,100,EDP,Women,Citrus,"Sandalwood, Ambroxan, Woodsy Notes, Musk","Lemon Blossom, Jasmine Sambac, Jasmine, Peony",4.5
763,VERSACE,Eros,234.95,100,EDP,Women,Citrus,"Musk, Ambroxan, Woodsy Notes, Sandalwood","Lemon Blossom, Jasmine Sambac, Jasmine, Peony",4.6
764,Lancome,La Vie Est Belle,217,75,EDP,Women,Vanilla,"Patchouli, Praline, Tonka Beans, Vanilla","Iris, Jasmine, Orange Tree Blossom",4.4
765,Arabian Oud,Sheikh Al Shuyukh,36.3,50,EDP,Women,Oriental,"Vetiver, Patchouli","Lavender, Sage, Rosemary",5
766,UNITED COLORS OF BENETTON,Hot,27.1,100,EDT,Women,Woody,"Cedarwood, Sandalwood, Oak Moss, Amber, Vanilla and Musk","Lily of The Valley, Water Jasmine, Iris and Apricot",4.5
767,LANVIN,L'Homme,110,100,EDT,Men,Spicy,"Sandalwood, amber, musk","Comprise, pepper, mint, sage, cardamom",5
768,Estee Lauder,Wood Mystique,479,100,EDP,Unisex,Woody,"Patchouli, Virginia Cedar, Benzoin, Agarwood, Leather, Raspberry","Iris, Jasmine, Ylang-Ylang, Rose, Mimosa",5
769,S.T.Dupont,Essence Pure,74.35,100,EDT,Men,Woody,"Cypress, Amber, Musk And Cedar","Iris, Lavender And Bamboo",4.6
770,ARMAND BASI,In Red,107.95,100,EDT,Women,Citrus,"Palisander Rosemary, Oakmoss, White Musk, Amber, Vanilla, Praline, Woody notes","Lily, Jasmine, Violet Leaf, Rose, Blackcurrant, Pink Pepper, Peony",4.5
771,Lattafa,Pure Oudi Liquid Gold,47.4,100,EDP,Unisex,Woody,Effervescent Citrus.,"Ylang-Ylang, Black Currant",2
772,DORALL COLLECTION,Lancy,11.85,100,EDT,Women,Spicy,"Tonka, Praline, Patchouli, Vanilla","Iris, Orange Blossom, Jasmine",4.5
773,GUCCI,Guilty,213.95,75,EDT,Women,Floral,Lily and Wild Strawberry,Litchi,4.8
774,PACO RABANNE,One Million,319,200,EDT,Men,Woody,"Amber, Leather","Cinnamon, Rose",4.5
775,VERSACE,Bright Crystal,21.4,5,EDT,Women,Floral,"Plants, Musk And Red Woods","Lotus, Peony, Magnolia",4.5
776,DORALL COLLECTION,DC Charged,14.95,100,EDT,Women,Woody,"Praline, Coconut Salt, Suede, Musk","Floral Notes, Apple",5
777,DAVIDOFF,The Game,83.95,100,EDT,Men,Woody,Ebony Wood,"Iris, Woody Notes",4.9
778,HUGO BOSS,Boss The Scent,133,100,EDT,Men,Spicy,Leather,Maninka Fruit And Lavender,4.6
779,SWISS ARABIAN,Bakhoor Al Arais,15,50,EDP,Unisex,Arabian,"Amber, Palisander Rosewood","Cedar, Spicy",4.6
780,PACO RABANNE,Invictus Intense,199,100,EDT,Men,Spicy,"Ambergris, Amber, Salt","Laurels, Whiskey",4.7
781,Calvin Klein,Beauty,109.55,100,EDP,Women,Floral,Virginia Cedar,Jasmine,4.6
782,Ferrari,Cedar Essence,106,100,EDP,Men,Woody,Patchouli And Amber,Marine And Watermelon,4.4
783,J.CASANOVA,Plaisir,75.75,100,EDP,Women,Oriental,Amber,Musk,4.8
784,DORALL COLLECTION,Islanders,9,100,EDT,Men,Woody,"Guaiac Wood, Oakmoss, Patchouli, Ambergris","Bay Leaf, Jasmine",3.4
785,Calvin Klein,CK One,98,200,EDT,Unisex,Citrus,"Sandalwood, Amber, Musk, Cedar and Oakmoss","Nutmeg, Violet, Orris Root, Jasmine, Lily-Of-The-Valley and Rose",4.5
786,Fendi,Furiosa,184.5,100,EDP,Women,Floral,"Incense, Ga?ac Wood and Amber","Jasmine Absolute, Violaciocca Flower and Gardenia",4.2
787,al raheeb,Oud Khurafi,36,100,EDP,Unisex,Fresh,"Cashmeran, Ambroxan, Musk",Woody,5
788,Bill Blass,Nude Natural Spray Colo,79.45,100,EDT,Women,Floral,"Sandalwood, Musk, Orris Root, Vetiver","Oakmoss, Jasmine, Ylang-Ylang, Rose, Narcissus",4.7
789,PACO RABANNE,Black Xs Potion,162,100,EDT,Men,Woody,Labdanum Rum,Wormwood Cashmere Wood,4.3
790,JAGUAR,Vision III,120,100,EDT,Men,Woody,"Sandalwood, Patchouli, Tonka Bean, Cedar, Vanilla and Musk",Jasmine and Marine Notes,3.8
791,VERSACE,Crystal Noir,16.2,5,EDT,Women,Arabian,"Amber, Musk, Sandalwood","Orange Blossom, Gardenia, Peony",4.4
792,Dolce & Gabbana,Pour Femme,195,100,EDP,Women,Floral,"Guimave, Vanilla, Heliotrope and Sandalwood",Jasmine and Orange Blossom,5
793,Al Rasasi,Dirham,45.9,35,EDP,Unisex,Floral,"Vanilla, Patchouli And Massoia Wood","Rose , Black Violet And Coca Flower",5
794,Roberto Cavalli,Florence,154.95,75,EDP,Women,Floral,"Patchouli, Amber, Musk","Orange Blossom, Hibiscus Seed, Grapefruit Blossom",4.7
795,Milton Lloyd,Hawaii London,23,55,EDT,Women,Floral,Woody Notes and Musk,Jasmine and Rose,4
796,AZZARO,Chrome Legend,163.25,125,EDT,Men,Woody,"Warm Amber, Musk And Tonka Bean","Woodsy Notes Of Oakmoss, Vetiver, Cedar",4.5
797,VERSACE,Crystal Noir,215,90,EDT,Women,Spicy,"Sandalwood, Musk, Amber","Orange Blossom, Peony, Gardenia, Coconut",4.8
798,S.T.Dupont,Essence Pure,91.1,100,EDT,Women,Citrus,"Amber, Patchouli, Vanilla and Cedar",Jasmine and Rose,4.4
799,LANVIN,Eclat D'arpege,6.85,2,EDP,Women,Floral,Blackberry And Sensual Musk,"Musk, Chinese Osmanthus, Petitgrain, Cedar, Wisteria",3.8
800,LACOSTE,Pour Femme,123.05,90,EDP,Women,Floral,"Cedar, Vetiver, Sandalwood And Musk","Jasmine Petals, White Heliotrope And Hibiscus",4.5
801,CHLOE,Love Story,221.9,75,EDP,Women,Floral,"Musk, Cedar, Cashmirwood And Patchouli","Orange Blossom, Stephanotis, Rose, Black Currant And Peach",4.3
802,J.CASANOVA,Vivaldi,87,100,EDP,Women,Fresh,"Tonka Bean, Patchouli, Opoponax, Vanilla, Vetiver And White Musk","Mimosa, Jasmine, Turkish Rose And Ylang-Ylang",5
803,CAROLINA HERRERA,Good Girl,213.15,80,EDP,Women,Arabian,"Tonka Bean, Cocoa, Sandalwood, Praline, Cinnamon, Cedar, Cashmere Wood","Jasmine Sambac, Tuberose, Orris, Bulgarian Rose, Orange Blossom",4.8
804,Dunhill,Desire Blue,68,100,EDT,Men,Fresh,"Tonka Bean, Musk, Amber And, Benzoin","Orange, Brazilian Rosewood And, Sea Notes",4.3
805,AZZARO,Chrome,121,100,EDT,Men,Citrus,"Sandalwood, Tonka Bean, Musk, Oakmoss, Cedar, Brazilian Rosewood And Cardamom","Cyclamen, Coriander, Jasmine And Oakmoss",5
806,Yves Saint Laurent,Black Opium,364.65,90,EDP,Women,Vanilla,"Musk, White Wood","Jasmine Tea, Orrange Blossom, Coffee",4.8
807,NINA RICCI,Premier Jour,136.45,100,EDP,Women,Fruity,"Sandalwood, Musk, Vanilla, Woodsy Notes","Orchid, Gardenia",4.7
808,Dorall,Blue Princess,11.85,100,EDT,Men,Oriental,"Musk, Patchouli","Woody, Vetiver",5
809,GUESS,Seductive,86.75,75,EDT,Women,Spicy,"Vanille, Olibanum And Cashmere Wood","Jasmine, African Orange Flower And Orris Root",5
810,HUGO BOSS,Boss The Scent,155,100,EDP,Women,Fruity,Cacao,Osmanthus,4.6
811,AVON,Today Tomorrow Always,98.95,75,EDT,Men,Citrus,"Sandalwood, patchouli, amber",Anise,5
812,Lattafa,Oud Mood,42.55,100,EDP,Unisex,Woody,"Musk, Incense, Amber, Resin, Woody","Patchouli, Caramel, Agarwood",4.6
813,MB,Tim Tom Leather Black,19,100,EDP,Men,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",3.3
814,DIESEL,Plus Plus Masculine,30,75,EDT,Men,Spicy,"Vetiver, Musk, Sandalwood, Patchouli, Oak Moss, Nutmeg, Clove, Cinnamon, Tonka Bean and Anise","Jasmine, Birch, Sage, Cardamom, Coriander, Lily-of-The-Valley, Violet and Green Notes",4.5
815,LACOSTE,EDTTouch Of Pink For Wom,89,90,EDT,Women,Citrus,"Woody, Musk And Vanilla","Jasmine, Carrot, And Spicy Coriander",4.8
816,GUCCI,Guilty Absolute,230,90,EDP,Men,Woody,"Woody Notes, Vetiver","Patchouli, Cypress",4.1
817,AMOUAGE,Epic,653,100,EDP,Women,Jasmine,"Rose, Geranium, Jasmine, Tea","Rose, Geranium, Jasmine, Tea",4.3
818,VERSACE,Bright Crystal,169.95,90,EDT,Women,Floral,"Amber, Musk, Mahogany","Peony,Lotus, Magnolia",4.8
819,MB,Sweetheart Rockstar,10.8,100,EDP,Women,Fresh,"Rose, Vanilla, Ginger","Pine, Cardamom, Lavender, Rosemary",4.5
820,Ferrari,Scuderia Red,97.6,125,EDT,Men,Fruity,"Cedar, Sandalwood, Moss and Vanilla","Jasmine, Geranium, Orris and Nutmeg",4.6
821,DAVIDOFF,Hot Water,76.95,110,EDT,Men,Arabian,"Styrax, Benzoin",Pimento and Patchouli,4.6
822,ST Dupont,Passenger,103,100,EDT,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper and Lavender",5
823,HUGO BOSS,Ma Vie,137.55,75,EDP,Women,Floral,Cedar and Woody Notes,"Pink Freesia, Jasmine and Rose",4.7
824,Givenchy,Xeryus Rouge,214.4,100,EDT,Men,Woody,Cedar Wood,Red Pepper,4.8
825,joop,Homme,55,125,EDT,Men,Citrus,"Vanilla, tonka bean, patchouli, sandalwood","Jasmine, lily of the valley, heliotrope, cinnamon",4.4
826,TESORI D¢¥ORIENTE,Lotus Flower Aromatic Par,33.6,100,EDT,Unisex,Floral,"Vanilla, Woodsy Notes, Sandalwood And Musk","Jasmine, Lotus, Tuberose And Lily Of The Valley",4.6
827,TESORI D¢¥ORIENTE,White Musk,39.95,100,EDT,Men,Woody,"Aldehyde, Jasmine, White Flowers",Rose,4.2
828,STELLA MCCARTNEY,Stella,197.95,100,EDP,Women,Floral,Amber,Rose,4.8
829,CHANEL,Coco Mademoiselle,275.3,100,EDP,Women,Woody,"Opoponax, Patchouli, Tonka Beans, Vanilla, Vetiver, White Musk","Jasmine, Mimosa, Rose, Ylang-Ylang",4.7
830,Alina Corel,For Ever,33.85,100,EDP,Men,Spicy,"Guaiac Wood, Benzoin","Ginger, Cardamom, Pink Pepper and Lavender",5
831,Calvin Klein,One Shock,86.3,200,EDT,Women,Floral,"Musk, Patchouli, Amber and Vanille","Jasmine, Narcissus, Mexican chocolate and Blackberry",4.2
832,Mancera,Roses Vanille,248.8,120,EDP,Women,Arabian,"Cedar, Vanilla, Sugar, White Musk",Rose and Sugar,5
833,Mandarina Duck,Black,182.6,100,EDT,Men,Woody,"Vetiver,Patchouli","Tuberose,Orange Blossom,Musk",5
834,PACO RABANNE,1 Million,172,100,EDT,Men,Woody,"Leather, Woody Notes, Amber, Indian Patchouli","Rose, Cinnamon, Spicy Notes",4.6
835,Calvin Klein,Sheer Beauty,104.05,100,EDT,Women,Fruity,"Musk, Sandalwood, Vanille","Jasmine, Peony, Lily",4.6
836,CHLOE,Chloe,157.35,90,EDT,Women,Floral,"Bourbon Vanilla, Sandal Wood And Tonka Bean","Night Queen Flower, Bulgarian Rose And Orange Flower",4.5
837,TED LAPIDUS,Creation,50,100,EDT,Women,Floral,"Jasmine, Rose, Tuberose, Carnation","Jasmine, Rose, Tuberose, Carnation",4.7
838,Guerlain,L'Instant Magic,422,100,EDP,Women,Woody,"Wood, Almond","Rose, Freesia",4.7
839,Lattafa,Rouat Al Musk,38.95,100,EDP,Women,Oriental,Vanilla and Amber,"Jasmine, White Flowers and Sandalwood",4.8
840,Dunhill,London,109.65,75,EDT,Men,Arabian,"Patchouli, Sandalwood, Tonka Bean, Vanilla And Musk","Rose, Geranium And Jasmine",3.4
841,TRI,En Joy,9.9,100,EDT,Women,Floral,"Sandalwood, Cedar, Patchoulli, Musk, Benzoin","Rose, Jasmine, Cassis, Peach",4.1
842,Mancera,Roses Greedy,258.95,120,EDP,Unisex,Floral,"White Musk, Amber, Vanilla, Sugar, Benzoin","Rose, Jasmine, Flowers",4.6
843,Rasasi,Emotion,44.45,50,EDP,Women,Sandalwood,"Sandalwood, Musk, Amber, Cedar And Vanilla","Kiwi, Pineapple, Black Currant, Freesia, Water Lily And Jasmin",4.6
844,BURBERRY,Mr. Burberry,179.95,100,EDP,Men,Woody,"Patchouli, Amber, Sandalwood, Vetiver, Benzoin and Cinnamon","Lavender, Cedar, Nutmeg",4.5
845,DORALL COLLECTION,Oud Maaruf,11.49,100,EDT,Men,Arabian,"Sandalwood, musk, woody - amber, patchouli, oudh, dry woody-amber, amber","Rose, raspberry, dried fruits, ylang, geranium, jasmin, orris, muguet, saffron",4
846,BURBERRY,Burberry Body Intense,152.45,60,EDP,Women,Fruity,"Cashmere Wood, Amber, Vanille, Musk","Rose, Sandalwood, Iris",4.6
847,Dior,Sauvage,208.25,100,EDT,Men,Oriental,"Ceder, ambroxan, labdanum","Lavender, elemi, geranium, sichuan pepper",4
848,Lattafa,Sheikh Shuyukh,30.3,50,EDP,Unisex,Woody,"Vetiver, Patchouli","Lavender, Sage, Rosemary",4.9
849,Mancera,Roses Vanille,285,120,EDP,Women,Arabian,"Cedar, Vanilla, Sugar, White Musk","Rose, Sugar",4.9
850,Mancera,Roses Vanille,239.95,120,EDP,Women,Arabian,"Vanilla, Sugar, White Musk, Cedar","Rose, Sugar",4.7
851,Ferrari,Man In Red,119.9,100,EDT,Men,Fruity,"Cedar, Tonka Bean and Labdanum","Lavender, Yellow Plum and Orange Blossom",5
852,Dunhill,Desire,84.25,100,EDT,Men,Fresh,"Vanilla, Musk","Rose, Teak Wood, Patchouli",4.5
853,BVLGARI,Man In Black,187,100,EDP,Men,Spicy,"Tonka Bean, Guaiac Wood, Benzoin","Leather, Iris, Tuberose",4.6
854,VERSACE,Eros,225.1,100,EDP,Women,Citrus,"Sandalwood, Ambroxan, Musk and Woodsy Notes","Lemon Blossom, Jasmine Sambac, Jasmine and Peony",5
855,Gres,Cabotine,61.55,100,EDT,Women,Floral,"Cedarwood, Vanilla, Tonka Bean, Cybet, Musk and Amber.","Rose, Tuberose, Ylang-Ylang, Ginger Lily, Hyacinth, Heliotrope, Freesia, Violet and Iris.",4.6
856,Alina Corel,Monsieur Oud,30.95,100,EDP,Unisex,Musk,"Cedar, Musk","Rose, Water",4.5
857,VERSACE,Eros,208,100,EDP,Women,Citrus,"Sandalwood, Ambroxan, Woodsy Notes, Musk","Lemon Blossom, Jasmine Sambac, Jasmine, Peony",4.5
858,VERSACE,Eros,234.95,100,EDP,Women,Citrus,"Musk, Ambroxan, Woodsy Notes, Sandalwood","Lemon Blossom, Jasmine Sambac, Jasmine, Peony",4.6
859,GIORGIO ARMANI,Si Passione EDP For Wo,235.45,100,EDT,Women,Floral,"Cedar,Vanilla,Patchouli","Rose,Jasmine,Heliotrope,Pineapple",5
860,BOUCHERON,Quatre,158.4,100,EDP,Women,Floral,"Golden Woods, Cedar, Cashmere, Musk, Vanilla and Caramel","Sambac Jasmine, rose,  Accords of Wild Strawberry, Peach and Apple",4.8
861,LALIQUE,Encre Noire,140,100,EDT,Men,Woody,Sandalwood,Lemongrass,4.4
862,UNITED COLORS OF BENETTON,Hot,27.1,100,EDT,Women,Woody,"Cedarwood, Sandalwood, Oak Moss, Amber, Vanilla and Musk","Lily of The Valley, Water Jasmine, Iris and Apricot",4.5
